cdpid,blockcreated
765,5115903
767,5117498
768,5118568
769,5119181
773,5120068
774,5120621
778,5121591
779,5122013
780,5122052
784,5124281
785,5125773
786,5126741
787,5127065
789,5127123
790,5127678
791,5128077
792,5130321
793,5132412
794,5132765
796,5132815
797,5132835
799,5134477
800,5135637
801,5135933
802,5137159
803,5137432
804,5137463
805,5138405
806,5138443
807,5138750
808,5139771
810,5140322
811,5140337
812,5140765
813,5140859
814,5140933
815,5141282
816,5142606
817,5142776
819,5145384
821,5146388
822,5147672
823,5147720
824,5149656
827,5151051
829,5151582
830,5153312
831,5154895
832,5155144
833,5156955
834,5156966
835,5157423
836,5157649
837,5157794
838,5158045
839,5159471
840,5159927
841,5160751
845,5161227
846,5161545
847,5161766
850,5163956
851,5166162
854,5166945
855,5167244
858,5168071
859,5168265
860,5168347
862,5168721
863,5169330
865,5171337
867,5173500
868,5174692
869,5175013
870,5176085
871,5176445
874,5178725
875,5179074
877,5179629
878,5179958
879,5180902
880,5181359
882,5182700
883,5183294
884,5184335
885,5184415
886,5184650
887,5185277
888,5185602
890,5185896
891,5187012
892,5187503
895,5189631
897,5191628
900,5192197
902,5194154
903,5194677
905,5196306
906,5196318
909,5196861
910,5197306
911,5197391
912,5197450
913,5198583
914,5201245
917,5206636
918,5206998
919,5207336
920,5208736
921,5210070
922,5211689
924,5213430
925,5213700
926,5213816
928,5214486
930,5215051
931,5215188
933,5215705
934,5215748
935,5215830
936,5216022
937,5217182
938,5218982
939,5219372
940,5219846
941,5219871
942,5220634
943,5222168
944,5222176
945,5222180
946,5222183
947,5222187
948,5222189
949,5222192
950,5222365
953,5222720
954,5223003
955,5223481
956,5223621
957,5223870
958,5224564
959,5224596
960,5225204
961,5225267
962,5225271
963,5225374
965,5226221
966,5226496
967,5226662
968,5226855
971,5227460
972,5227997
974,5232063
975,5232230
976,5232727
979,5233311
980,5233339
981,5233562
982,5233573
985,5234821
986,5234866
988,5235186
992,5236655
993,5236778
994,5238115
995,5238997
997,5239254
998,5239499
999,5239665
1000,5240881
1002,5241979
1003,5242434
1005,5244321
1006,5244325
1007,5244440
1008,5244606
1010,5246114
1012,5246599
1013,5246817
1014,5247317
1016,5247679
1018,5250726
1020,5251196
1021,5251747
1022,5253610
1023,5253771
1024,5254139
1025,5255171
1026,5255395
1027,5256727
1028,5256984
1031,5257711
1035,5260296
1036,5260334
1037,5261060
1038,5261060
1040,5261270
1042,5262665
1046,5266210
1047,5266219
1048,5267481
1049,5267583
1050,5267959
1051,5268269
1053,5269240
1054,5269334
1055,5269543
1058,5271556
1062,5273827
1063,5273991
1064,5274041
1065,5274804
1066,5275491
1069,5276793
1071,5277056
1072,5277137
1074,5277436
1075,5277654
1076,5277720
1077,5277784
1078,5277844
1079,5277892
1081,5278270
1085,5278717
1086,5278745
1087,5278781
1088,5278908
1089,5278989
1090,5278989
1092,5279008
1093,5279060
1094,5279221
1095,5279304
1096,5279308
1097,5279703
1099,5279818
1100,5279901
1102,5280084
1103,5280094
1105,5281554
1109,5283172
1111,5283403
1112,5283891
1113,5284108
1114,5284317
1116,5285395
1118,5287073
1120,5290203
1121,5290246
1122,5291345
1123,5291604
1124,5291614
1126,5292331
1127,5292558
1131,5294169
1132,5294584
1133,5295126
1135,5297201
1137,5298068
1138,5298863
1141,5303277
1144,5307128
1145,5307328
1146,5308379
1147,5308474
1148,5308877
1150,5309039
1151,5309329
1153,5313412
1154,5314433
1157,5316065
1159,5316923
1160,5318492
1162,5320177
1163,5320352
1164,5320757
1166,5320951
1167,5322706
1170,5323761
1172,5325761
1173,5325762
1175,5326549
1176,5327445
1178,5328216
1179,5328986
1181,5329458
1182,5329560
1183,5330446
1184,5331013
1185,5331476
1186,5332083
1187,5332676
1188,5333067
1189,5333501
1191,5333926
1192,5334011
1193,5334476
1194,5334529
1195,5334909
1197,5335666
1198,5335774
1199,5335991
1200,5336258
1201,5337631
1204,5338282
1205,5339042
1206,5341479
1207,5342004
1208,5342435
1209,5342450
1212,5342647
1213,5342709
1214,5343272
1216,5343508
1217,5343663
1218,5343711
1219,5343758
1220,5344019
1222,5344514
1224,5344586
1225,5344665
1226,5344746
1227,5345277
1228,5345385
1230,5345492
1231,5345643
1234,5345988
1237,5346506
1238,5346566
1239,5346613
1240,5346678
1241,5346747
1242,5347568
1244,5350154
1245,5350331
1247,5350658
1249,5351315
1252,5351730
1253,5351731
1255,5352027
1257,5352946
1258,5352952
1259,5353209
1260,5354408
1261,5354855
1262,5356038
1263,5356066
1266,5356575
1268,5356891
1270,5357647
1272,5358701
1274,5360920
1275,5361146
1276,5361293
1277,5361450
1278,5362673
1279,5362688
1281,5362822
1285,5366009
1286,5366025
1287,5367056
1288,5367493
1289,5367854
1290,5368260
1291,5368354
1293,5369132
1294,5369584
1295,5369799
1296,5370007
1298,5373196
1300,5373615
1301,5374507
1302,5374512
1304,5375508
1305,5375872
1307,5378877
1308,5378905
1312,5383027
1313,5383758
1314,5384556
1315,5386015
1316,5386067
1317,5386552
1320,5388377
1321,5388621
1322,5388676
1323,5388878
1324,5390014
1326,5391238
1329,5395926
1331,5396964
1333,5397518
1334,5397965
1336,5398774
1337,5398902
1338,5400162
1342,5402160
1343,5403162
1344,5403323
1345,5404165
1346,5404371
1347,5405587
1348,5406141
1350,5406314
1354,5406792
1356,5407538
1358,5407784
1359,5407909
1360,5408934
1364,5410833
1366,5411209
1368,5411502
1369,5411570
1371,5412262
1372,5412673
1374,5413548
1375,5413683
1376,5414020
1378,5415276
1384,5417539
1386,5418073
1387,5418364
1389,5418950
1390,5419760
1391,5419928
1392,5420243
1393,5421056
1394,5421343
1396,5421873
1397,5421988
1398,5421993
1400,5422059
1401,5422386
1403,5423417
1404,5423524
1405,5423996
1406,5424115
1407,5424228
1408,5424414
1409,5424698
1410,5424830
1411,5424896
1412,5425363
1414,5426800
1415,5427173
1416,5427427
1417,5427730
1418,5428096
1419,5428192
1420,5428368
1421,5428532
1422,5428623
1423,5428715
1425,5428957
1427,5429196
1428,5429298
1429,5429338
1430,5429807
1431,5430063
1432,5430582
1434,5430755
1435,5431017
1436,5431360
1437,5431525
1438,5431815
1439,5432057
1440,5432704
1443,5433355
1444,5433441
1446,5433760
1447,5433898
1449,5434171
1450,5434272
1451,5434291
1452,5434458
1453,5434865
1454,5435693
1455,5437611
1456,5438928
1457,5439124
1458,5439272
1463,5441209
1468,5442581
1469,5443023
1475,5445393
1476,5445470
1477,5445547
1478,5445635
1479,5445642
1480,5445668
1481,5446418
1483,5446636
1486,5446868
1488,5446986
1489,5447370
1490,5447397
1491,5447411
1492,5447579
1495,5447800
1496,5447899
1499,5448322
1500,5448343
1502,5448558
1503,5449023
1504,5449661
1505,5449711
1506,5449778
1507,5449779
1508,5450481
1512,5451376
1513,5451813
1514,5451835
1516,5451883
1517,5451906
1518,5451989
1524,5453163
1525,5453299
1526,5453378
1527,5454232
1528,5454267
1530,5454294
1532,5454444
1533,5455005
1536,5457744
1539,5457886
1540,5458948
1541,5458995
1542,5460360
1544,5460970
1545,5461419
1546,5461458
1547,5461714
1548,5462540
1549,5463415
1550,5464612
1551,5464745
1555,5466113
1560,5468709
1561,5469051
1562,5469289
1563,5470073
1565,5470722
1566,5470741
1567,5471246
1568,5471259
1569,5471331
1570,5471344
1571,5471422
1572,5471588
1574,5472352
1576,5473150
1577,5473378
1578,5473549
1580,5475045
1581,5475109
1582,5475586
1583,5476138
1584,5476425
1585,5476500
1586,5476526
1588,5477303
1589,5477639
1590,5478641
1591,5479240
1592,5479505
1593,5480002
1594,5480235
1595,5480279
1596,5480668
1598,5480969
1599,5483223
1600,5483492
1601,5484099
1603,5486042
1604,5486785
1605,5486955
1606,5487895
1607,5488936
1608,5489249
1609,5490416
1610,5490589
1611,5491053
1612,5491254
1615,5491735
1620,5492089
1622,5493355
1623,5494549
1625,5497137
1627,5497685
1629,5498121
1630,5498240
1631,5498388
1632,5498742
1635,5499597
1636,5499702
1637,5500113
1638,5500530
1639,5500847
1640,5500882
1641,5500915
1642,5501201
1643,5501272
1645,5501587
1646,5501684
1647,5501767
1648,5503078
1649,5503305
1650,5503394
1651,5503526
1652,5503813
1653,5503836
1654,5504015
1656,5504268
1657,5504472
1659,5505094
1660,5505521
1661,5505629
1662,5506020
1663,5506118
1666,5507040
1667,5507203
1668,5507485
1670,5508024
1671,5508284
1672,5508294
1673,5508313
1674,5509135
1675,5509409
1676,5509833
1677,5510246
1679,5510718
1681,5515502
1682,5516619
1683,5517341
1684,5517482
1685,5518697
1686,5520260
1687,5520476
1689,5522232
1691,5522575
1692,5523056
1693,5523221
1696,5525278
1697,5525556
1698,5526238
1699,5526927
1700,5527602
1701,5529003
1706,5532066
1710,5537284
1713,5538364
1715,5538510
1716,5539093
1717,5539119
1718,5539237
1721,5545009
1722,5545252
1727,5547402
1729,5549004
1730,5549381
1731,5549667
1736,5550901
1742,5551037
1743,5551111
1744,5551423
1745,5552115
1746,5552588
1749,5554067
1753,5557204
1754,5557326
1755,5558605
1756,5559130
1757,5560185
1761,5563474
1765,5565039
1766,5566132
1773,5567958
1774,5567998
1775,5568087
1776,5568232
1777,5568375
1778,5568846
1779,5568862
1780,5568941
1781,5569268
1783,5569925
1786,5571366
1788,5571995
1791,5572080
1793,5572464
1794,5572500
1795,5572702
1796,5572777
1797,5572800
1798,5573119
1799,5573227
1801,5573757
1802,5574098
1803,5574109
1804,5574210
1805,5574303
1806,5575893
1807,5576241
1810,5578230
1811,5578318
1812,5578533
1813,5578770
1814,5578771
1815,5578827
1818,5582238
1819,5582624
1820,5583244
1821,5584118
1822,5584473
1823,5584573
1824,5584619
1826,5585171
1827,5585232
1828,5586008
1829,5586299
1830,5586605
1831,5587975
1832,5590386
1833,5590431
1834,5590636
1835,5590669
1838,5591307
1840,5592220
1841,5592878
1842,5593263
1844,5593391
1845,5594302
1846,5594519
1847,5594774
1848,5595263
1849,5596136
1850,5596458
1851,5596512
1853,5596608
1856,5597005
1857,5597009
1860,5597789
1861,5597963
1862,5598119
1863,5598336
1865,5600102
1866,5600253
1867,5600359
1869,5602334
1870,5602490
1873,5604021
1874,5605181
1875,5606704
1876,5607661
1877,5609353
1882,5610337
1883,5610646
1884,5611503
1885,5611714
1887,5612129
1888,5612313
1889,5612875
1891,5614039
1894,5615028
1895,5615285
1899,5617998
1900,5618780
1903,5619111
1904,5619175
1905,5619568
1906,5619604
1908,5620745
1909,5621684
1910,5621765
1911,5622599
1913,5623880
1919,5625926
1921,5627042
1922,5627052
1923,5627123
1924,5628278
1925,5629726
1927,5630915
1928,5631427
1929,5632229
1930,5632958
1931,5636045
1933,5637298
1937,5638794
1938,5639186
1939,5640731
1941,5642122
1945,5645333
1948,5646341
1953,5648936
1954,5648991
1956,5649146
1960,5651231
1962,5651895
1963,5651954
1964,5652048
1965,5652196
1966,5652298
1967,5652662
1968,5653571
1969,5656057
1970,5656566
1972,5658298
1973,5658401
1974,5659004
1976,5659944
1977,5660044
1978,5660088
1979,5660337
1981,5660594
1982,5660805
1983,5660889
1985,5661082
1986,5662728
1987,5662762
1988,5662917
1989,5663420
1991,5663871
1992,5663919
1993,5664060
1999,5664261
2000,5664362
2001,5664499
2002,5664637
2003,5664709
2004,5664749
2005,5664768
2006,5665001
2008,5665295
2009,5665407
2011,5666319
2012,5666386
2015,5667222
2016,5667526
2017,5667751
2018,5667827
2019,5668305
2020,5668551
2021,5668632
2022,5669111
2023,5669210
2024,5669625
2025,5669653
2026,5669799
2027,5669956
2028,5670282
2029,5670308
2031,5670483
2034,5670955
2035,5671192
2036,5671246
2037,5671251
2038,5672226
2041,5672383
2046,5674827
2047,5675514
2048,5675863
2049,5675934
2050,5676076
2051,5676076
2052,5676126
2055,5676282
2058,5680080
2059,5681528
2061,5682943
2062,5683036
2065,5686602
2066,5687000
2067,5687299
2068,5687352
2070,5687550
2071,5688159
2072,5688280
2073,5688295
2074,5688401
2075,5688755
2076,5689151
2079,5689235
2080,5689754
2082,5690061
2083,5690076
2084,5690529
2085,5690969
2086,5692604
2087,5692928
2088,5693548
2090,5694581
2091,5694750
2095,5695459
2096,5695817
2097,5696569
2098,5696573
2099,5696577
2100,5696717
2102,5696866
2103,5696900
2104,5697241
2105,5697894
2106,5698257
2107,5698755
2108,5699272
2109,5699825
2110,5700072
2112,5700806
2113,5701890
2114,5703340
2115,5703949
2116,5704057
2118,5704361
2119,5704402
2121,5705271
2124,5706660
2125,5707974
2126,5707977
2127,5708341
2128,5709060
2129,5709380
2130,5710896
2133,5715000
2134,5716921
2137,5718247
2138,5718615
2139,5718906
2140,5719094
2141,5719249
2145,5722012
2146,5725327
2147,5725383
2149,5725755
2151,5727153
2152,5727476
2153,5727866
2154,5729210
2155,5730309
2156,5730922
2157,5731133
2158,5731206
2159,5731242
2160,5731308
2162,5731776
2164,5732976
2166,5734169
2167,5734616
2171,5735049
2173,5735303
2174,5735684
2175,5735936
2176,5736451
2177,5736900
2178,5736949
2180,5737847
2182,5738088
2183,5738424
2185,5738655
2187,5739227
2188,5739422
2189,5741352
2191,5741928
2193,5742851
2194,5743855
2195,5743925
2196,5745109
2197,5745575
2198,5749243
2199,5749340
2200,5750236
2201,5750605
2202,5753542
2203,5753854
2205,5759978
2207,5760607
2210,5765878
2211,5765980
2212,5766333
2213,5766534
2214,5766987
2215,5767090
2216,5767457
2217,5767837
2218,5767848
2220,5768754
2222,5770606
2223,5770665
2224,5770929
2225,5770975
2226,5771320
2227,5772050
2228,5774627
2231,5777047
2232,5777239
2233,5778194
2234,5778379
2235,5778667
2237,5779406
2239,5779855
2242,5781832
2243,5781874
2244,5782415
2245,5782717
2246,5782795
2247,5783107
2248,5783159
2251,5783775
2252,5784298
2253,5784341
2254,5784917
2256,5785489
2257,5786661
2261,5788474
2262,5788540
2263,5788653
2264,5789556
2265,5789863
2267,5790906
2268,5792095
2272,5799079
2273,5799803
2275,5800334
2276,5800889
2277,5804108
2278,5805909
2279,5807113
2280,5807835
2281,5809000
2283,5810708
2285,5810988
2286,5812084
2289,5814556
2293,5817183
2294,5817336
2297,5819484
2300,5821808
2301,5821935
2302,5822155
2304,5823250
2305,5823459
2306,5823523
2307,5824521
2308,5824776
2309,5825266
2313,5826218
2314,5826419
2315,5828778
2319,5834620
2321,5835851
2324,5835929
2325,5836317
2327,5836897
2328,5836926
2330,5837370
2331,5838360
2332,5839767
2333,5839975
2335,5842426
2336,5844460
2337,5845692
2339,5846677
2340,5846827
2342,5847294
2343,5847513
2344,5847538
2345,5847878
2346,5848024
2347,5848039
2348,5848606
2349,5849030
2350,5849037
2351,5849854
2353,5851187
2354,5851235
2355,5851242
2356,5851663
2358,5851882
2359,5852509
2360,5854081
2363,5855135
2364,5855834
2366,5857448
2367,5859410
2369,5860367
2370,5860566
2371,5861562
2373,5863906
2374,5863983
2375,5864032
2377,5864816
2378,5865046
2381,5865263
2382,5865489
2384,5865608
2385,5865702
2388,5868350
2390,5868868
2391,5869083
2392,5869737
2393,5870956
2394,5870984
2395,5871474
2397,5872330
2398,5872359
2399,5872636
2400,5873396
2402,5874419
2403,5875057
2404,5875389
2405,5875998
2406,5876041
2407,5876128
2408,5876197
2409,5876299
2410,5876308
2411,5876356
2412,5876439
2413,5877701
2414,5882781
2415,5883059
2416,5883082
2417,5883147
2418,5883213
2419,5883318
2420,5883788
2421,5883900
2422,5884609
2423,5885472
2424,5887305
2426,5887408
2427,5887991
2429,5892109
2431,5893530
2433,5894430
2435,5894615
2436,5894789
2437,5895135
2438,5895691
2439,5896199
2441,5897087
2442,5897376
2443,5897497
2444,5897870
2445,5899647
2446,5899752
2451,5905596
2452,5905670
2453,5907445
2454,5908310
2455,5910720
2458,5919033
2461,5920803
2464,5921470
2467,5924314
2468,5924549
2469,5924608
2470,5924869
2471,5925803
2472,5928208
2476,5930656
2479,5933606
2481,5934213
2482,5934359
2483,5934949
2484,5934993
2485,5936153
2486,5936319
2490,5938048
2491,5939164
2492,5939667
2493,5940124
2494,5940760
2496,5942514
2497,5942683
2498,5942797
2499,5942923
2503,5944992
2507,5946908
2508,5947498
2509,5947849
2510,5949918
2511,5951513
2512,5951678
2514,5955774
2515,5956393
2516,5957273
2517,5963986
2520,5970333
2521,5972889
2522,5973187
2523,5973229
2524,5973667
2525,5974091
2526,5974554
2527,5975837
2530,5978093
2532,5978383
2534,5978870
2535,5979599
2538,5981518
2540,5982085
2541,5982524
2542,5982696
2543,5982725
2544,5983642
2545,5983801
2546,5985028
2547,5987263
2550,5988364
2552,5990057
2553,5990738
2554,5991370
2558,5993724
2561,5996202
2563,5997843
2564,5997924
2565,5997933
2566,5999279
2567,5999301
2568,5999645
2569,6001885
2571,6005159
2573,6007593
2574,6008870
2575,6009362
2576,6009498
2580,6013767
2582,6014107
2584,6014773
2585,6015042
2586,6015534
2588,6017729
2589,6018407
2594,6024484
2595,6024649
2598,6026306
2599,6026633
2601,6028286
2602,6030734
2603,6030824
2604,6031000
2606,6031800
2607,6034052
2609,6034301
2610,6034966
2611,6035003
2612,6035550
2613,6036179
2616,6037286
2617,6037423
2618,6037778
2619,6039706
2625,6042127
2627,6045051
2628,6045420
2629,6045469
2631,6047043
2632,6047870
2633,6048007
2634,6048377
2635,6048708
2638,6050631
2639,6051905
2640,6053152
2641,6054699
2642,6056313
2644,6057039
2645,6058543
2646,6058653
2648,6060599
2649,6061613
2650,6061660
2651,6061888
2652,6062178
2653,6062858
2654,6062859
2655,6063639
2656,6064290
2657,6064924
2658,6065566
2660,6066445
2662,6068218
2663,6068236
2664,6068280
2665,6069129
2668,6071639
2669,6071707
2670,6071760
2671,6074704
2674,6078136
2675,6078175
2679,6080553
2680,6081294
2681,6083419
2682,6083440
2683,6084531
2685,6087706
2686,6087887
2691,6089247
2692,6089771
2696,6093219
2698,6094443
2700,6095554
2701,6096074
2702,6097493
2704,6098532
2705,6100193
2707,6101020
2708,6102465
2709,6102573
2711,6103657
2712,6106802
2713,6107539
2714,6107556
2715,6109294
2716,6109842
2717,6109939
2718,6110021
2719,6110023
2721,6111099
2722,6111783
2723,6111849
2724,6111860
2725,6111888
2726,6111926
2727,6112444
2729,6113206
2730,6114169
2731,6114447
2732,6115065
2733,6115815
2735,6116359
2736,6116547
2738,6117356
2739,6117424
2747,6118514
2749,6118628
2751,6119006
2755,6119954
2760,6123016
2761,6123419
2763,6123487
2764,6123724
2766,6124051
2767,6124574
2768,6124630
2771,6125925
2772,6125964
2773,6126422
2774,6126709
2775,6126943
2776,6127017
2777,6127185
2778,6128027
2780,6128347
2782,6128461
2783,6128674
2784,6128909
2786,6129304
2787,6129715
2788,6129747
2789,6129947
2790,6130136
2791,6130254
2793,6130556
2794,6130750
2795,6131034
2796,6131129
2797,6131406
2801,6134081
2802,6134376
2804,6135538
2805,6136143
2806,6136980
2807,6137028
2809,6137226
2813,6138517
2814,6138946
2815,6139417
2816,6139450
2817,6140382
2819,6141223
2820,6141236
2821,6141236
2822,6141237
2824,6141254
2825,6141268
2827,6141365
2831,6141442
2832,6141699
2833,6141978
2835,6142252
2836,6142337
2837,6142411
2838,6143039
2840,6143419
2841,6143485
2842,6143488
2843,6143539
2844,6143824
2845,6143840
2846,6143849
2856,6144479
2857,6144515
2858,6145066
2859,6145373
2860,6145389
2861,6145621
2862,6145837
2863,6145983
2864,6146201
2865,6146340
2866,6146381
2867,6146419
2870,6146701
2871,6146874
2872,6146909
2873,6147010
2874,6147265
2877,6147851
2879,6147948
2882,6148187
2883,6148187
2884,6148377
2885,6148665
2887,6149277
2888,6149295
2889,6149341
2890,6149664
2891,6149813
2896,6150509
2898,6151664
2900,6152975
2901,6153229
2903,6153720
2904,6153803
2906,6154081
2909,6155161
2911,6155783
2912,6155822
2913,6155940
2914,6157389
2915,6158060
2916,6158367
2920,6163169
2921,6164862
2923,6166750
2924,6167119
2925,6167171
2927,6167943
2928,6168004
2929,6168077
2930,6168580
2931,6168761
2932,6170075
2935,6173331
2936,6173752
2937,6176344
2938,6176970
2939,6177014
2940,6178307
2942,6178887
2943,6179644
2944,6179802
2947,6181557
2948,6183164
2949,6183437
2951,6184494
2953,6185344
2954,6185568
2955,6186554
2959,6187338
3000,6188906
3024,6193235
3025,6193872
3026,6195125
3028,6195353
3036,6195554
3039,6196172
3040,6196242
3041,6196336
3042,6196536
3043,6198549
3044,6199847
3045,6199950
3046,6200565
3047,6200895
3049,6201410
3050,6201594
3051,6201786
3052,6204489
3053,6205143
3056,6206727
3060,6210708
3063,6211576
3067,6216194
3068,6216870
3070,6218093
3072,6218924
3073,6218958
3074,6219028
3080,6222829
3083,6223440
3085,6224953
3086,6225696
3087,6225843
3088,6225930
3089,6225976
3091,6227782
3092,6228615
3093,6228648
3094,6228912
3095,6229781
3096,6229840
3097,6230019
3100,6230096
3101,6230213
3103,6230484
3104,6230844
3105,6231228
3106,6233395
3107,6233630
3110,6236474
3111,6236654
3112,6237281
3113,6237774
3115,6240202
3119,6242735
3121,6243512
3122,6246047
3124,6247193
3125,6249707
3128,6253322
3130,6255106
3131,6255463
3133,6255795
3134,6256124
3135,6258081
3137,6259176
3138,6259773
3139,6259798
3140,6259814
3141,6260849
3145,6263377
3147,6263486
3148,6264254
3149,6264733
3150,6265044
3151,6265245
3152,6265472
3153,6266562
3154,6266621
3156,6267416
3157,6267590
3158,6270045
3159,6270483
3160,6271214
3162,6273958
3164,6276004
3165,6276261
3166,6276303
3167,6276393
3168,6277403
3169,6277425
3170,6277473
3172,6277729
3174,6279137
3175,6279444
3176,6279572
3177,6279676
3180,6280019
3182,6280772
3184,6280997
3186,6281106
3187,6281127
3190,6281577
3192,6281734
3196,6282578
3198,6283398
3199,6284139
3200,6284925
3201,6285090
3202,6285744
3204,6286746
3206,6287051
3209,6289839
3211,6290435
3212,6290584
3213,6290865
3214,6290885
3215,6290956
3216,6291033
3217,6291511
3219,6292427
3221,6292867
3222,6292901
